Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
1,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,117,1383,0.31,0.66,0.95,1,10,11,4,11.105,58.9,-1.0,-1.0,-1.0,546.2,3,29.0,1.9,73.3,33.6,6.7,55.2,58.6,5.5,99.7,17318.7,17575.6,20040.5,18,0.000,0.910,0.090,0.907,0.041,24.5,0.00,0,2722,337
2,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,143,948,0.53,0.77,0.75,1,9,16,1,3.395,-1.0,-1.0,-1.0,-1.0,557.6,3,26.4,17.1,33.5,36.0,8.7,55.9,59.2,33.8,81.3,9349.8,12089.1,14028.0,36,0.001,0.929,0.070,0.909,0.000,26.8,0.00,1,2727,381
3,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,119,760,0.62,1.00,0.60,0,12,6,1,0.823,-1.0,-1.0,-1.0,-1.0,549.6,3,26.9,14.2,34.0,35.7,8.2,53.5,56.0,22.6,76.0,8800.9,8499.8,10603.6,36,0.001,0.916,0.083,0.888,0.492,25.8,0.00,0,2665,400
4,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,104,1084,0.46,0.65,1.00,0,10,3,13,2.971,35.0,-1.0,-1.0,-1.0,519.8,3,37.8,1.2,71.1,22.9,7.1,40.0,56.7,13.2,89.5,16970.4,20288.6,19916.8,17,0.001,0.866,0.133,0.883,0.039,25.8,0.00,0,2650,414
5,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,172,1125,0.44,0.43,1.00,2,10,11,3,9.859,-1.0,8.7,-1.0,-1.0,513.0,3,28.4,8.1,58.6,31.5,4.8,55.6,55.7,29.0,80.2,8303.9,11887.7,11542.0,2,0.000,0.855,0.145,0.940,0.000,24.1,0.00,2,2821,173
6,BossLose,Timeout,60.0,BossRangedZoner,PlayerCCDebuffer,PlayerCCDebuffer,429,557,0.72,0.00,0.57,6,12,6,2,8.790,56.4,-1.0,56.4,-1.0,538.6,3,27.0,14.2,34.2,34.5,8.3,46.0,55.2,22.6,69.8,7323.2,7834.5,10316.6,39,0.001,0.897,0.102,0.898,0.247,26.1,0.00,3,2694,374
7,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,98,1530,0.24,0.67,1.00,0,16,10,4,8.223,-1.0,58.7,-1.0,-1.0,541.6,3,26.7,5.0,69.7,36.9,2.0,65.2,57.1,3.4,90.7,6782.9,9395.5,13478.0,19,0.001,0.902,0.097,0.920,0.971,22.6,0.00,0,2762,275
8,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,5,1243,0.38,1.00,0.98,0,9,11,1,3.676,-1.0,-1.0,-1.0,-1.0,559.0,3,26.3,12.1,34.8,35.5,9.4,54.9,57.4,19.9,86.0,9648.3,12231.2,13232.6,23,0.000,0.932,0.068,0.913,0.000,27.6,0.00,0,2740,354
9,BossLose,Timeout,60.0,BossMeleeAggro,PlayerCCDebuffer,PlayerCCDebuffer,93,1293,0.35,0.88,0.81,1,10,1,10,12.593,21.3,-1.0,-1.0,-1.0,535.4,3,33.8,4.9,48.9,25.8,5.4,54.0,56.4,22.1,78.3,14157.5,18046.8,18244.0,10,0.001,0.892,0.107,0.926,0.226,25.1,0.00,1,2779,468
10,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,345,1210,0.40,0.36,0.49,3,9,14,1,4.969,-1.0,-1.0,-1.0,-1.0,550.8,3,26.6,14.4,35.0,36.2,9.4,53.5,57.8,22.6,81.2,8861.1,9781.8,11253.4,26,0.000,0.918,0.082,0.942,0.248,24.9,0.00,2,2826,309
11,BossLose,Timeout,60.0,BossTankSustain,PlayerCCDebuffer,PlayerCCDebuffer,9,1165,0.42,1.00,0.97,0,6,13,2,13.662,-1.0,10.0,-1.0,-1.0,531.6,3,27.6,7.0,65.0,34.9,4.9,49.7,59.4,29.4,89.5,13617.1,19787.4,17953.4,2,0.001,0.886,0.113,0.939,0.000,27.2,0.00,0,2819,198
