Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
1,BossWin,AllPlayerDeath,31.5,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,600,393,0.80,0.00,0.00,7,8,2,1,23.630,31.5,17.3,31.5,23.1,269.0,3,26.0,5.9,49.1,17.7,4.7,46.0,41.9,22.1,62.8,4927.1,7886.0,3303.9,3,0.000,0.853,0.147,0.900,0.964,16.6,0.00,1,1419,185
2,BossLose,Timeout,60.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,232,1842,0.08,1.00,0.23,4,10,3,10,20.229,21.3,-1.0,-1.0,-1.0,494.4,3,31.2,4.1,49.7,19.2,5.2,40.1,46.0,25.2,67.5,7743.6,9871.2,8249.3,9,0.001,0.824,0.175,0.887,0.188,18.6,0.00,1,2662,493
3,BossLose,Timeout,60.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,33,753,0.62,1.00,0.89,0,10,4,3,8.161,-1.0,-1.0,-1.0,-1.0,516.0,3,22.7,9.8,47.3,29.9,6.5,71.3,43.5,6.0,79.9,9180.5,11187.8,16671.4,21,0.000,0.860,0.140,0.784,0.248,17.9,0.00,0,2352,408
4,BossLose,Timeout,60.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,498,883,0.56,0.00,0.34,7,10,1,5,11.355,30.4,-1.0,30.4,-1.0,483.9,3,21.0,8.1,29.0,26.6,7.5,45.5,48.7,22.1,66.9,7658.0,4842.6,9833.6,17,0.001,0.884,0.115,0.942,0.245,18.6,0.00,4,2826,751
5,BossLose,Timeout,45.7,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,50,356,0.82,1.00,0.83,0,7,2,0,6.503,-1.0,-1.0,-1.0,-1.0,189.5,3,22.9,12.3,28.4,27.8,11.6,31.4,42.9,19.9,55.3,278.3,2108.5,2980.6,21,0.001,0.829,0.171,0.944,0.327,21.4,0.00,0,2160,214
6,BossWin,AllPlayerDeath,71.3,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,600,446,0.78,0.00,0.00,13,21,2,3,15.101,40.9,71.3,40.9,71.3,304.9,3,24.2,12.7,34.1,24.4,10.5,32.8,48.3,33.8,59.6,1884.6,3267.3,5578.5,46,0.000,0.856,0.144,0.808,0.983,22.1,0.00,1,2881,775
7,BossWin,AllPlayerDeath,68.0,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,600,481,0.76,0.00,0.00,9,15,0,3,15.754,68.0,47.6,68.0,47.6,302.5,3,26.2,12.0,46.9,23.3,14.2,29.3,49.7,33.8,65.8,2905.0,8993.5,3330.1,44,0.001,0.890,0.109,0.842,0.428,22.6,0.00,4,2864,569
8,BossWin,AllPlayerDeath,48.5,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,600,1071,0.46,0.00,0.00,5,12,7,0,12.678,48.5,21.3,48.5,21.3,226.0,3,23.8,7.1,36.8,25.6,14.1,31.1,48.9,29.0,62.2,2313.8,4598.0,5585.2,11,0.002,0.932,0.066,0.808,0.616,22.9,0.00,2,1960,483
9,BossWin,AllPlayerDeath,89.9,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,600,1571,0.21,0.00,0.00,9,22,10,1,25.024,89.9,38.1,89.9,38.1,397.0,3,25.8,11.1,55.0,22.1,10.6,29.4,50.6,33.8,66.1,4350.8,12552.8,4058.4,23,0.001,0.883,0.116,0.890,0.371,21.6,0.00,1,4001,427
10,BossLose,BossDeath,82.5,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,408,2000,0.00,0.64,0.00,6,17,10,5,18.998,-1.0,62.4,-1.0,62.4,354.8,3,27.8,11.2,42.9,20.9,14.2,28.9,42.4,21.1,57.9,3231.2,8107.4,2594.6,33,0.000,0.860,0.139,0.899,0.426,21.7,0.00,0,3709,599
11,BossLose,Timeout,90.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,533,1339,0.33,0.00,0.22,5,16,7,3,13.732,72.7,-1.0,72.7,-1.0,390.9,3,24.0,10.8,35.9,26.1,10.6,34.1,48.6,19.9,63.5,1844.7,3967.0,6238.5,68,0.000,0.868,0.131,0.780,0.256,22.2,0.00,0,3510,955
12,BossLose,BossDeath,71.4,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,545,2000,0.00,0.16,0.03,4,21,8,4,9.234,-1.0,-1.0,-1.0,-1.0,318.1,3,24.2,11.0,36.5,27.5,14.2,33.3,48.5,29.0,66.5,2267.1,4018.5,6990.7,47,0.000,0.891,0.109,0.753,0.982,23.3,0.00,1,2690,928
