Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
4,BossLose,Timeout,60.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,494,680,0.66,0.00,0.35,7,12,4,2,11.126,55.2,-1.0,55.2,-1.0,494.6,3,24.3,8.1,47.3,27.8,5.1,44.2,44.2,17.8,65.5,5347.1,5509.2,8565.1,11,0.001,0.824,0.175,0.933,0.245,19.5,0.00,0,0,0
9,BossLose,Timeout,60.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,431,918,0.54,0.24,0.33,8,13,3,3,22.737,26.8,-1.0,-1.0,-1.0,461.0,3,25.8,4.7,43.2,25.5,9.9,61.6,47.6,22.6,66.0,5315.2,5866.0,9325.1,15,0.000,0.768,0.232,0.865,0.491,19.2,0.00,0,0,0
10,BossWin,AllPlayerDeath,46.2,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,600,1219,0.39,0.00,0.00,5,12,7,1,8.008,46.2,15.2,46.2,15.2,423.0,3,20.6,6.5,29.2,32.0,14.1,44.7,49.5,29.0,64.3,8151.4,8354.5,5193.3,7,0.000,0.916,0.084,0.980,0.987,22.5,0.00,0,0,0
11,BossLose,Timeout,60.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,7,428,0.79,1.00,0.98,0,9,2,1,2.749,-1.0,-1.0,-1.0,-1.0,496.4,3,20.2,6.1,23.8,32.7,14.2,44.3,40.2,29.0,61.9,2551.9,2820.7,5008.5,1,0.001,0.827,0.172,0.992,0.000,20.3,0.00,0,0,0
12,BossLose,Timeout,42.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,228,933,0.53,1.00,0.24,4,8,1,5,4.455,1.9,-1.0,-1.0,-1.0,331.0,3,30.8,5.0,43.2,18.3,13.8,33.6,37.4,22.1,62.4,1813.1,2959.7,5026.8,1,0.001,0.789,0.210,0.947,0.696,17.5,0.00,0,0,0
13,BossLose,Timeout,32.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,198,0,1.00,0.51,0.83,3,5,0,0,1.676,-1.0,-1.0,-1.0,-1.0,264.8,3,19.7,9.7,23.9,32.2,8.2,39.2,42.6,19.9,58.6,1399.1,2015.7,4586.8,1,0.000,0.828,0.172,0.975,0.468,19.3,0.00,0,0,0
14,BossLose,Timeout,2.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,80,219,0.89,1.00,0.73,1,1,1,1,2.217,-1.0,-1.0,-1.0,-1.0,17.0,1,21.4,19.5,24.2,9.5,5.3,15.2,22.9,22.1,27.4,140.2,21.5,27.3,0,0.000,0.850,0.150,0.960,0.800,13.0,0.00,0,0,0
15,BossLose,Timeout,0.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,0,0,1.00,1.00,1.00,0,0,0,0,-0.501,-1.0,-1.0,-1.0,-1.0,0.0,1,15.2,15.2,15.2,19.5,19.5,19.5,22.1,22.1,22.1,0.0,0.0,0.0,0,0.000,0.000,1.000,0.000,0.000,0.0,0.00,0,0,0
16,BossLose,Timeout,0.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,0,0,1.00,1.00,1.00,0,0,0,0,-0.501,-1.0,-1.0,-1.0,-1.0,0.0,1,15.2,15.2,15.2,19.5,19.5,19.5,22.1,22.1,22.1,0.0,0.0,0.0,0,1.000,0.000,0.000,0.000,0.000,0.0,0.00,0,0,0
17,BossLose,Timeout,0.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,0,0,1.00,1.00,1.00,0,0,0,0,-1.002,-1.0,-1.0,-1.0,-1.0,0.0,1,14.2,14.2,14.2,15.1,15.1,15.1,22.6,22.6,22.6,0.0,0.0,0.0,0,1.000,0.000,0.000,0.000,0.000,0.0,0.00,0,0,0
