Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames

# === Session 2026-04-30 21:36:27 ===
Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
3,BossLose,Timeout,60.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,431,455,0.77,0.45,0.12,5,8,1,3,3.025,-1.0,-1.0,-1.0,-1.0,510.8,3,26.7,6.6,45.0,25.2,6.1,47.0,47.7,29.0,65.9,8543.0,11560.1,11217.4,6,0.001,0.851,0.148,0.902,0.248,18.3,0.00,0,0,0
4,BossWin,AllPlayerDeath,56.4,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,600,358,0.82,0.00,0.00,10,16,1,2,9.939,32.2,56.4,32.2,56.4,473.0,3,20.0,6.3,25.6,26.9,9.6,46.4,42.2,22.1,66.4,4199.7,2257.2,7062.7,1,0.002,0.838,0.159,0.978,0.982,19.6,0.00,0,0,0
6,BossLose,Timeout,60.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,378,590,0.71,0.01,0.73,6,9,1,4,13.594,-1.0,22.4,-1.0,-1.0,495.6,3,24.5,5.6,45.6,27.0,4.9,43.4,45.5,22.1,60.7,5454.9,7699.0,5455.5,3,0.001,0.826,0.173,0.911,0.000,19.9,0.00,0,0,0
8,BossLose,Timeout,60.0,BossRangedZoner,PlayerHybridSurvivor,PlayerHybridSurvivor,84,900,0.55,0.79,0.93,0,10,1,7,9.386,32.6,-1.0,-1.0,-1.0,505.0,3,31.6,3.9,49.8,19.1,7.2,29.2,46.3,22.1,70.1,13447.3,14367.5,18122.8,11,0.000,0.841,0.158,0.875,0.234,19.6,0.00,0,0,0
11,BossLose,Timeout,60.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,471,1416,0.29,0.43,0.00,6,11,7,3,4.528,-1.0,32.4,-1.0,32.4,512.6,3,26.7,5.5,44.0,16.6,6.6,21.0,38.0,27.7,55.7,5794.0,8569.0,1946.7,2,0.001,0.854,0.145,0.969,0.235,20.3,0.00,0,0,0
17,BossWin,AllPlayerDeath,45.3,BossMeleeAggro,PlayerHybridSurvivor,PlayerHybridSurvivor,600,1055,0.47,0.00,0.00,6,8,5,4,10.996,36.4,45.3,36.4,45.3,365.0,3,30.8,7.5,49.1,20.2,6.0,44.4,41.7,20.1,67.6,3526.8,4957.0,7362.4,13,0.001,0.807,0.192,0.910,0.126,17.1,0.00,0,0,0
19,BossLose,Timeout,60.0,BossTankSustain,PlayerHybridSurvivor,PlayerHybridSurvivor,18,1186,0.41,0.96,0.98,0,9,4,4,8.851,-1.0,51.2,-1.0,-1.0,498.0,3,22.7,7.0,45.1,32.4,4.6,66.9,46.4,6.0,77.8,7193.1,9852.5,11480.5,10,0.001,0.830,0.169,0.898,0.000,21.2,0.00,0,0,0
