Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
1,BossWin,AllPlayerDeath,42.5,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,3197,0.36,0.00,0.00,8,12,11,8,-70.772,2.0,5.3,42.5,36.2,38.0,3,16.5,4.9,37.9,14.7,4.7,24.3,31.1,23.4,39.2,209.5,1182.4,1028.9,17,0.000,0.089,0.911,0.286,0.826,17.0,0.00,3,607,44
2,BossLose,Timeout,24.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,33,1626,0.67,0.98,0.91,0,2,5,4,-11.149,14.8,18.8,-1.0,-1.0,161.0,2,13.8,4.8,27.6,18.4,4.0,27.1,31.2,19.9,39.3,4459.8,5575.1,6118.4,4,0.003,0.666,0.331,0.743,0.617,13.6,0.00,0,898,71
3,BossLose,BossDeath,77.7,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,344,5000,0.00,0.56,0.29,5,14,19,19,-80.137,12.9,52.8,-1.0,-1.0,398.8,3,18.4,3.3,40.4,14.6,3.8,26.5,30.2,5.8,46.2,12411.4,15420.6,13288.8,5,0.000,0.514,0.486,0.640,0.259,15.9,0.00,3,2485,666
4,BossWin,AllPlayerDeath,49.7,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,2624,0.48,0.00,0.00,7,12,6,13,-59.414,24.9,27.7,32.6,49.7,235.0,3,21.0,5.0,33.7,12.0,5.0,26.5,30.7,22.1,38.3,5390.5,7389.7,6024.7,7,0.001,0.473,0.526,0.615,0.321,13.5,0.00,4,1526,178
5,BossWin,AllPlayerDeath,33.5,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,1902,0.62,0.00,0.00,4,5,8,5,-89.733,2.6,6.3,33.5,22.2,43.0,3,15.5,3.4,26.7,13.6,4.7,21.6,26.5,16.0,36.7,138.7,1642.2,738.0,16,0.002,0.128,0.869,0.316,0.424,14.1,0.00,2,530,89
6,BossLose,BossDeath,63.9,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,355,5000,0.00,0.34,0.47,2,11,18,19,-158.369,19.8,21.5,-1.0,-1.0,182.0,3,17.2,2.3,35.7,13.4,4.4,22.9,29.2,12.9,42.8,6281.6,9100.5,7544.3,32,0.003,0.285,0.712,0.457,0.210,15.1,0.00,2,1460,111
7,BossWin,AllPlayerDeath,56.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,3144,0.37,0.00,0.00,9,14,11,17,-164.688,11.7,9.2,40.4,56.3,90.0,3,13.8,4.9,21.7,15.4,4.5,30.4,29.2,19.3,40.3,1104.7,1931.0,2722.7,22,0.000,0.160,0.840,0.357,0.784,14.2,0.00,5,1005,55
8,BossLose,BossDeath,65.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,423,5000,0.00,0.35,0.24,5,11,20,19,-226.022,7.6,2.8,-1.0,-1.0,51.8,3,14.6,4.8,22.9,14.6,4.7,28.2,28.7,22.6,37.9,251.7,1467.2,1211.6,37,0.000,0.080,0.920,0.264,0.209,16.8,0.00,4,863,30
9,BossLose,BossDeath,54.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,306,5000,0.00,0.41,0.57,4,9,16,16,-119.818,2.7,22.0,-1.0,-1.0,172.0,3,16.6,3.9,31.5,12.1,4.9,20.9,27.5,16.5,37.5,5543.5,5470.6,6768.0,31,0.001,0.317,0.682,0.450,0.254,14.9,0.00,0,1221,189
10,BossWin,AllPlayerDeath,41.9,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,1901,0.62,0.00,0.00,8,11,10,5,-52.909,2.5,24.3,41.9,24.3,211.0,3,18.8,1.1,35.2,9.5,5.3,20.7,29.5,13.1,40.8,5094.9,5901.9,4652.9,4,0.001,0.504,0.495,0.620,0.925,11.7,0.00,3,1297,142
11,BossWin,AllPlayerDeath,75.6,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,600,4475,0.11,0.00,0.00,10,22,18,10,-133.486,36.1,33.4,75.6,33.4,324.0,3,19.3,4.8,36.4,8.7,6.0,15.2,30.8,16.3,41.8,5927.2,9251.8,5387.6,1,0.001,0.429,0.570,0.590,0.873,13.4,0.00,3,2229,184
12,BossLose,BossDeath,60.5,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,356,5000,0.00,0.00,0.81,5,10,17,19,-207.764,2.2,4.4,59.4,-1.0,29.0,3,15.9,4.7,38.0,14.5,4.4,23.5,29.8,18.7,47.2,96.0,2156.1,1118.9,28,0.001,0.048,0.951,0.278,0.173,16.3,0.00,2,843,24
13,BossWin,AllPlayerDeath,87.3,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,3860,0.23,0.00,0.00,13,19,23,5,-124.434,28.9,30.1,87.3,30.1,261.0,3,16.8,4.4,36.5,12.2,5.4,26.5,32.4,24.8,40.2,6533.7,9415.7,5424.4,4,0.000,0.299,0.700,0.468,0.493,13.2,0.00,3,2041,179
14,BossWin,AllPlayerDeath,69.4,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,600,3562,0.29,0.00,0.00,5,15,19,10,-97.648,9.2,40.2,69.4,40.2,306.0,3,18.2,2.6,41.5,10.4,5.0,24.5,31.3,15.9,47.4,11413.8,14120.2,13957.9,4,0.001,0.441,0.558,0.564,0.475,11.0,0.00,4,1959,329
15,BossLose,BossDeath,78.3,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,351,5000,0.00,0.69,0.14,6,23,16,22,-57.176,4.2,58.0,-1.0,-1.0,465.0,3,20.3,4.7,43.4,13.4,5.0,28.9,32.6,13.7,47.9,11058.9,12761.0,11193.9,15,0.001,0.594,0.406,0.700,0.916,13.0,0.00,1,2741,691
16,BossWin,AllPlayerDeath,27.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,951,0.81,0.00,0.00,6,6,3,2,-28.727,3.0,15.1,27.0,15.1,128.0,2,22.5,4.7,42.1,10.6,5.4,22.2,35.9,18.8,48.3,2404.8,4137.0,3158.3,3,0.001,0.475,0.524,0.562,0.881,14.9,0.00,3,757,108
