Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
15,BossLose,Timeout,15.4,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,0,370,0.82,1.00,1.00,0,0,1,3,5.320,2.6,-1.0,-1.0,-1.0,110.0,2,24.9,3.7,41.9,10.7,5.4,20.8,34.4,16.6,48.6,1794.2,2926.3,2179.4,2,0.003,0.715,0.282,0.714,0.000,0.0,0.00,0,549,148
18,BossLose,BossDeath,32.6,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,313,2000,0.00,0.65,0.30,1,8,6,8,16.063,-1.0,-1.0,-1.0,-1.0,296.8,3,23.3,15.6,36.6,9.0,5.7,15.2,30.7,16.5,42.2,5330.4,7727.3,4624.2,0,0.002,0.909,0.089,0.961,0.944,9.8,0.00,1,1569,130
19,BossWin,AllPlayerDeath,21.4,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,733,0.63,0.00,0.00,5,5,2,3,14.596,21.4,15.4,21.4,15.4,177.0,2,21.7,5.6,34.6,10.2,5.3,24.8,34.0,27.4,38.6,5946.1,6735.9,3462.1,2,0.001,0.826,0.173,0.870,0.965,9.5,0.00,3,933,114
20,BossLose,BossDeath,30.3,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,263,2000,0.00,0.92,0.20,3,6,3,9,16.202,28.0,-1.0,-1.0,-1.0,268.6,3,22.2,3.6,34.3,11.9,5.8,30.2,32.1,16.7,40.5,5785.6,6255.2,7467.1,2,0.003,0.885,0.112,0.941,0.976,12.4,0.00,1,1428,233
23,BossLose,BossDeath,39.7,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,411,2000,0.00,0.63,0.00,2,7,6,9,20.621,-1.0,38.3,-1.0,38.3,360.0,3,22.7,6.4,34.9,8.5,5.2,15.2,30.1,16.5,41.0,6975.4,8980.0,6639.4,1,0.004,0.906,0.091,0.967,0.592,8.2,0.00,0,1922,176
26,BossLose,BossDeath,30.0,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,267,2000,0.00,1.00,0.11,3,6,4,8,15.531,-1.0,-1.0,-1.0,-1.0,275.0,3,22.1,14.1,27.6,8.7,5.5,15.1,30.1,25.9,33.9,5710.7,7085.4,5338.9,1,0.001,0.916,0.083,0.985,0.947,9.2,0.00,2,1479,138
27,BossLose,BossDeath,31.0,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,160,2000,0.00,1.00,0.47,2,4,3,9,15.378,2.1,-1.0,-1.0,-1.0,268.4,3,24.3,3.3,38.7,9.6,6.0,20.0,32.2,22.3,43.7,5864.4,7914.5,5097.1,3,0.000,0.868,0.132,0.930,0.208,9.6,0.00,1,1440,173
39,BossLose,BossDeath,40.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,287,2000,0.00,0.89,0.15,2,7,5,11,16.236,2.1,-1.0,-1.0,-1.0,328.0,3,23.5,4.6,41.2,10.6,5.2,19.9,32.6,16.4,46.0,12081.3,12758.7,12062.5,3,0.000,0.816,0.184,0.868,0.601,10.9,0.00,0,1745,359
56,BossWin,AllPlayerDeath,12.2,BossMeleeAggro,PlayerMeleeBurst,PlayerMeleeBurst,600,315,0.87,0.00,0.00,3,3,1,2,8.809,6.1,12.2,6.1,12.2,95.0,1,12.5,8.6,15.9,16.0,6.1,31.6,29.4,18.1,38.9,1280.7,654.4,2348.2,2,0.005,0.782,0.213,0.767,0.987,12.1,0.00,0,467,94
84,BossLose,BossDeath,39.2,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,227,2500,0.00,0.53,0.71,1,7,8,10,18.417,-1.0,-1.0,-1.0,-1.0,357.4,3,21.6,9.0,31.8,9.0,6.1,15.2,29.8,18.2,37.6,5344.5,7746.4,4599.1,1,0.002,0.912,0.087,0.953,0.603,9.3,0.00,0,1868,178
123,BossLose,BossDeath,33.1,BossTankSustain,PlayerMeleeBurst,PlayerMeleeBurst,115,2500,0.00,0.91,0.70,1,6,5,9,11.701,1.7,-1.0,-1.0,-1.0,261.6,3,21.1,2.5,32.6,11.7,5.2,22.2,31.1,16.9,42.2,7436.5,7439.9,7958.3,2,0.002,0.789,0.208,0.841,0.788,11.6,0.00,0,1394,331
137,BossLose,BossDeath,36.2,BossRangedZoner,PlayerMeleeBurst,PlayerMeleeBurst,295,2500,0.00,1.00,0.02,4,5,4,11,19.249,2.6,-1.0,-1.0,-1.0,323.6,3,24.2,3.0,44.7,9.1,5.6,20.1,32.1,15.2,50.5,9835.6,9206.4,9574.6,2,0.002,0.893,0.105,0.933,0.166,8.7,0.00,1,1690,193
