Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
2,BossLose,Timeout,90.0,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,121,1694,0.15,0.60,1.00,1,21,3,20,41.758,27.6,-1.0,-1.0,-1.0,824.0,3,39.3,3.1,53.3,34.2,5.3,92.7,71.6,22.1,99.1,18755.8,19863.0,15348.3,8,0.000,0.915,0.084,0.956,0.641,29.3,0.00,1,4301,747
3,BossLose,Timeout,90.0,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,280,1697,0.15,0.35,0.72,3,25,20,1,10.132,-1.0,-1.0,-1.0,-1.0,853.2,3,28.4,6.2,38.6,43.4,15.0,59.7,68.8,33.8,87.0,20646.5,22547.1,21735.9,32,0.000,0.948,0.052,0.958,0.613,28.8,0.00,0,4311,402
69,BossWin,AllPlayerDeath,21.2,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,600,135,0.93,0.00,0.00,5,5,1,2,12.786,21.2,15.2,21.2,15.2,243.1,2,49.8,5.4,81.0,11.4,6.2,15.4,66.4,19.9,88.8,5897.7,10766.6,4662.6,2,0.001,0.881,0.118,0.910,0.983,13.0,0.00,2,966,107
209,BossWin,AllPlayerDeath,19.3,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,600,565,0.72,0.00,0.00,4,4,2,2,8.708,19.3,12.9,19.3,12.9,205.4,2,35.5,6.2,70.0,22.8,8.3,51.4,59.0,24.8,72.9,2930.0,4717.4,2709.3,3,0.001,0.818,0.181,0.834,0.727,13.7,0.00,1,806,114
305,BossWin,AllPlayerDeath,15.3,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,600,287,0.86,0.00,0.00,4,4,1,2,9.136,6.5,15.3,6.5,15.3,169.0,2,13.2,8.8,19.5,27.8,7.1,62.6,49.0,24.8,70.7,3637.2,1736.0,2893.6,2,0.001,0.847,0.151,0.833,0.944,11.6,0.00,1,639,90
322,BossWin,AllPlayerDeath,30.2,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,600,595,0.70,0.00,0.00,6,7,4,3,11.226,20.2,30.2,20.2,30.2,341.9,3,15.1,5.4,27.5,44.5,6.9,77.9,67.5,33.8,96.2,9314.6,5915.2,12365.7,2,0.002,0.872,0.126,0.913,0.983,12.7,0.00,3,1377,162
516,BossWin,AllPlayerDeath,24.7,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,600,362,0.82,0.00,0.00,6,6,1,2,9.978,24.7,16.7,24.7,16.7,268.8,2,27.6,8.0,61.5,33.2,5.4,65.0,60.0,22.6,78.6,5993.0,5945.6,2872.1,4,0.000,0.838,0.162,0.867,0.967,11.6,0.00,1,1072,141
591,BossWin,AllPlayerDeath,18.4,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,600,88,0.96,0.00,0.00,4,5,1,1,36.057,12.0,18.4,12.2,18.4,211.9,2,14.7,4.9,19.8,48.9,8.1,76.3,69.6,19.9,88.4,5870.0,4680.6,6721.5,2,0.002,0.889,0.109,0.895,0.978,28.1,0.00,0,822,76
664,BossWin,AllPlayerDeath,30.1,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,600,447,0.78,0.00,0.00,6,7,3,2,12.494,30.1,16.1,30.1,16.1,347.1,3,21.6,8.9,47.4,52.8,7.7,80.1,68.1,19.9,89.7,12756.3,13201.0,5131.5,3,0.002,0.888,0.110,0.873,0.986,15.7,0.00,0,1313,168
763,BossWin,AllPlayerDeath,18.7,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,600,233,0.88,0.00,0.00,4,5,1,3,6.653,6.6,18.7,6.6,18.7,201.5,2,10.9,6.3,19.5,26.7,5.3,59.6,46.9,24.8,67.0,4303.9,834.6,3553.5,2,0.002,0.832,0.166,0.829,0.957,12.1,0.00,1,773,150
