Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
4,BossLose,Timeout,60.0,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,116,1668,0.17,1.00,0.61,1,19,12,3,13.673,-1.0,10.5,-1.0,-1.0,544.6,3,34.3,14.1,57.2,40.3,4.6,62.2,71.2,24.8,90.7,14617.2,13437.4,20013.7,2,0.001,0.907,0.092,0.950,0.975,33.3,0.00,1,2850,192
19,BossLose,Timeout,60.0,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,0,1111,0.44,1.00,1.00,0,9,11,1,2.696,-1.0,-1.0,-1.0,-1.0,564.0,3,31.7,11.3,41.0,54.3,8.7,115.2,81.8,19.9,133.7,15221.6,21159.0,20343.5,33,0.001,0.940,0.059,0.944,0.000,34.2,0.00,0,2832,268
20,BossLose,Timeout,60.0,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,192,1290,0.35,1.00,0.36,3,14,6,4,20.504,-1.0,8.5,-1.0,-1.0,526.6,3,33.8,13.3,56.7,41.3,4.6,96.7,68.6,17.5,121.1,11968.1,12024.9,16368.7,1,0.001,0.877,0.122,0.933,0.615,31.9,0.00,2,2799,172
23,BossLose,Timeout,60.0,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,165,938,0.53,0.50,0.95,3,16,12,1,1.531,-1.0,-1.0,-1.0,-1.0,562.6,3,30.6,5.9,41.4,43.1,14.2,61.8,71.7,29.0,90.9,14549.5,16351.5,18688.5,30,0.001,0.937,0.062,0.909,0.990,31.8,0.00,1,2727,401
32,BossLose,Timeout,60.0,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,183,1159,0.42,0.39,1.00,2,16,9,2,21.100,-1.0,10.3,-1.0,-1.0,532.0,3,32.6,6.0,65.4,45.3,5.0,85.0,73.2,22.6,112.3,10320.8,13944.1,16846.7,3,0.000,0.887,0.113,0.930,0.985,26.3,0.00,1,2790,167
35,BossLose,Timeout,60.0,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,328,1316,0.34,0.91,0.00,3,11,8,4,14.304,-1.0,20.5,-1.0,42.1,517.0,3,32.7,7.5,53.3,33.1,3.6,67.8,63.6,22.6,97.7,13389.3,10092.1,15960.4,4,0.001,0.861,0.137,0.904,0.385,28.6,0.00,1,2714,228
37,BossLose,Timeout,60.0,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,576,1053,0.47,0.08,0.00,4,17,8,3,6.299,-1.0,55.6,-1.0,55.6,558.0,3,30.7,6.1,42.3,44.0,8.7,59.1,72.8,33.8,94.0,14622.6,17004.1,16772.8,15,0.000,0.930,0.070,0.936,0.537,28.1,0.00,0,2808,309
40,BossLose,Timeout,60.0,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,65,1625,0.19,1.00,0.78,1,9,7,6,21.719,-1.0,31.6,-1.0,-1.0,542.4,3,37.9,14.1,55.4,31.6,4.8,49.1,66.9,24.8,85.2,14283.8,16958.0,21613.7,12,0.001,0.904,0.095,0.910,0.150,34.4,0.00,0,2732,370
42,BossLose,Timeout,60.0,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,218,948,0.53,0.55,0.73,3,8,2,13,26.860,8.8,-1.0,-1.0,-1.0,557.6,3,36.7,3.8,49.8,31.8,11.0,63.8,66.5,29.0,91.1,13961.4,16623.2,18101.8,2,0.001,0.929,0.070,0.961,0.247,26.3,0.00,3,2884,729
43,BossLose,Timeout,60.0,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,153,791,0.60,0.61,0.88,2,12,7,0,5.586,-1.0,-1.0,-1.0,-1.0,561.0,3,30.7,7.7,41.6,43.6,19.3,60.9,72.6,22.1,90.3,13579.1,17084.6,19144.2,16,0.001,0.935,0.065,0.976,0.490,29.7,0.00,1,2930,220
