episode_id,p1_archetype,p2_archetype,outcome,duration_sec,boss_hp_remaining,total_damage_to_boss,total_damage_to_players,p1_skills_unlocked,p2_skills_unlocked,phase_reached,cumulative_reward,boss_travel_dist,idle_ratio,fwd_ratio,rot_ratio,back_ratio
1,Melee,CC,TouchTimeout_Partial,30.0,0.950,300,0,1,1,0,-4.031,86.2,0.183,0.203,0.416,0.198
2,Melee,Melee,TouchTimeout_None,30.0,0.785,1291,0,1,1,0,-4.900,88.1,0.209,0.212,0.383,0.197
3,Hybrid,Ranged,TouchTimeout_None,30.0,0.950,300,0,1,1,0,-5.381,80.9,0.185,0.183,0.436,0.197
4,Hybrid,Hybrid,TouchTimeout_None,30.0,0.877,739,0,1,1,0,-5.251,81.6,0.237,0.193,0.383,0.187
5,Melee,Melee,TouchTimeout_None,30.0,0.920,480,0,1,1,0,-4.863,89.1,0.213,0.230,0.380,0.177
6,CC,Melee,TouchTimeout_None,30.0,0.947,321,57,1,1,0,-4.738,91.5,0.159,0.237,0.408,0.197
7,Melee,Melee,TouchTimeout_None,30.0,0.935,388,0,1,1,0,-5.396,150.8,0.222,0.199,0.383,0.197
8,Hybrid,Hybrid,TouchTimeout_None,30.0,0.941,356,0,1,1,0,-5.746,141.0,0.208,0.197,0.429,0.167
9,Ranged,Hybrid,TouchTimeout_None,30.0,0.938,375,0,1,1,0,-5.045,170.3,0.231,0.203,0.316,0.250
10,Hybrid,CC,TouchTimeout_Partial,30.0,0.967,200,0,1,1,0,-3.482,192.6,0.171,0.306,0.350,0.173
11,Melee,Hybrid,TouchTimeout_None,30.0,0.950,300,0,1,1,0,-5.054,150.3,0.203,0.194,0.403,0.200
12,Ranged,Ranged,TouchTimeout_None,30.0,0.866,804,0,1,1,0,-4.813,166.8,0.166,0.217,0.398,0.220
13,Ranged,Melee,TouchTimeout_None,30.0,0.997,21,1,1,1,0,-5.596,148.8,0.224,0.177,0.380,0.220
14,CC,Ranged,TouchTimeout_None,30.0,0.900,600,0,1,1,0,-5.778,148.7,0.184,0.207,0.433,0.177
15,Ranged,CC,TouchTimeout_None,30.0,0.900,600,0,1,1,0,-5.012,151.2,0.214,0.187,0.386,0.213
16,CC,Hybrid,TouchTimeout_None,30.0,0.999,7,1,1,1,0,-5.475,146.7,0.233,0.214,0.393,0.160
